Date,Buy or Sell,Signal,Signal Strength,Decision,Short Stock,Borrowed & Sold,Current Buy Price,Long Stock,Bought,Current Sell Price,Total Profit,Realized Profit,Total Money Spent
2021-01-05,Sell,0.14285714285714285,,NO POSITION,,0,0,,0,0,0,0,0
2021-01-06,Sell,0.2857142857142857,,NO POSITION,,0,0,,0,0,0,0,0
2021-01-07,Sell,0.42857142857142855,,NO POSITION,,0,0,,0,0,0,0,0
2021-01-08,Sell,0.5714285714285714,,NO POSITION,,0,0,,0,0,0,0,0
2021-01-11,Sell,0.7142857142857143,,NO POSITION,,0,0,,0,0,0,0,0
2021-01-12,Sell,0.8571428571428571,,NO POSITION,,0,0,,0,0,0,0,0
2021-01-13,Sell,1.0,,NO POSITION,,0,0,,0,0,0,0,0
2021-01-14,Sell,1.1428571428571428,,NO POSITION,,0,0,,0,0,0,0,0
2021-01-15,Sell,1.2857142857142858,,NO POSITION,,0,0,,0,0,0,0,0
2021-01-19,Sell,1.4285714285714286,,NO POSITION,,0,0,,0,0,0,0,0
2021-01-20,Sell,1.5714285714285714,,NO POSITION,,0,0,,0,0,0,0,0
2021-01-21,Sell,1.7142857142857142,,NO POSITION,,0,0,,0,0,0,0,0
2021-01-22,Sell,1.8571428571428572,,NO POSITION,,0,0,,0,0,0,0,0
2021-01-25,Sell,2.0,,NO POSITION,,0,0,,0,0,0,0,0
2021-01-26,Sell,2.142857142857143,,NO POSITION,,0,0,,0,0,0,0,0
2021-01-27,Sell,2.2857142857142856,,NO POSITION,,0,0,,0,0,0,0,0
2021-01-28,Sell,2.4285714285714284,,NO POSITION,,0,0,,0,0,0,0,0
2021-01-29,Sell,2.5714285714285716,,NO POSITION,,0,0,,0,0,0,0,0
2021-02-01,Sell,2.7142857142857144,,NO POSITION,,0,0,,0,0,0,0,0
2021-02-02,Sell,2.857142857142857,,NO POSITION,,0,0,,0,0,0,0,0
2021-02-03,Sell,3.0,,NO POSITION,,0,0,,0,0,0,0,0
2021-02-04,Sell,3.142857142857143,,NO POSITION,,0,0,,0,0,0,0,0
2021-02-05,Sell,3.2857142857142856,,NO POSITION,,0,0,,0,0,0,0,0
2021-02-08,Sell,3.4285714285714284,,NO POSITION,,0,0,,0,0,0,0,0
2021-02-09,Sell,3.5714285714285716,,NO POSITION,,0,0,,0,0,0,0,0
2021-02-10,Sell,3.7142857142857144,,NO POSITION,,0,0,,0,0,0,0,0
2021-02-11,Sell,3.857142857142857,,NO POSITION,,0,0,,0,0,0,0,0
2021-02-12,Sell,4.0,,NO POSITION,,0,0,,0,0,0,0,0
2021-02-16,Sell,4.142857142857143,,NO POSITION,,0,0,,0,0,0,0,0
2021-02-17,Sell,4.285714285714286,,NO POSITION,,0,0,,0,0,0,0,0
2021-02-18,Sell,4.428571428571429,,NO POSITION,,0,0,,0,0,0,0,0
2021-02-19,Sell,4.571428571428571,,NO POSITION,,0,0,,0,0,0,0,0
2021-02-22,Sell,4.714285714285714,,NO POSITION,,0,0,,0,0,0,0,0
2021-02-23,Buy,0.14285714285714285,Weak,No New Position,,0,0,,0,0,0,0,0
2021-02-24,Sell,0.14285714285714285,,NO POSITION,,0,0,,0,0,0,0,0
2021-02-25,Buy,0.2857142857142857,Weak,No New Position,,0,0,,0,0,0,0,0
2021-02-26,Buy,0.14285714285714285,Weak,No New Position,,0,0,,0,0,0,0,0
2021-03-01,Sell,0.14285714285714285,,NO POSITION,,0,0,,0,0,0,0,0
2021-03-02,Buy,0.14285714285714285,Weak,No New Position,,0,0,,0,0,0,0,0
2021-03-03,Buy,0.2857142857142857,Weak,No New Position,,0,0,,0,0,0,0,0
2021-03-04,Buy,0.42857142857142855,Weak,No New Position,,0,0,,0,0,0,0,0
2021-03-05,Buy,0.5714285714285714,Weak,No New Position,,0,0,,0,0,0,0,0
2021-03-08,Buy,0.7142857142857143,Strong,Open Position,JPM,149.16680908203125,149.16680908203125,TSLA,597.9500122070312,597.9500122070312,0,0,605.4083526611328
2021-03-09,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,149.16680908203125,151.14370727539062,TSLA,597.9500122070312,563.0,-36.926910400390625,0,605.4083526611328
2021-03-10,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,149.16680908203125,150.07618713378906,TSLA,597.9500122070312,673.5800170898438,74.72062683105469,0,605.4083526611328
2021-03-11,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,149.16680908203125,153.33807373046875,TSLA,597.9500122070312,668.0599975585938,65.938720703125,0,605.4083526611328
2021-03-12,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,149.16680908203125,152.5374298095703,TSLA,597.9500122070312,699.5999755859375,98.27934265136719,0,605.4083526611328
2021-03-15,Sell,0.14285714285714285,Weak,Maintain Position,JPM,149.16680908203125,154.3462677001953,TSLA,597.9500122070312,693.72998046875,90.60050964355469,0,605.4083526611328
2021-03-16,Buy,0.2857142857142857,,ALREADY POSITIONED,JPM,149.16680908203125,153.57528686523438,TSLA,597.9500122070312,707.9400024414062,105.58151245117188,0,605.4083526611328
2021-03-17,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,149.16680908203125,151.7367706298828,TSLA,597.9500122070312,676.8800048828125,76.36003112792969,0,605.4083526611328
2021-03-18,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,149.16680908203125,153.29852294921875,TSLA,597.9500122070312,701.8099975585938,99.728271484375,0,605.4083526611328
2021-03-19,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,149.16680908203125,155.82894897460938,TSLA,597.9500122070312,653.1599731445312,48.547821044921875,0,605.4083526611328
2021-03-22,Buy,0.2857142857142857,,ALREADY POSITIONED,JPM,149.16680908203125,153.3479461669922,TSLA,597.9500122070312,654.8699951171875,52.73884582519531,0,605.4083526611328
2021-03-23,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,149.16680908203125,149.2261199951172,TSLA,597.9500122070312,670.0,71.99067687988281,0,605.4083526611328
2021-03-24,Buy,0.2857142857142857,,ALREADY POSITIONED,JPM,149.16680908203125,147.7335662841797,TSLA,597.9500122070312,662.1599731445312,65.64320373535156,0,605.4083526611328
2021-03-25,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,149.16680908203125,148.88014221191406,TSLA,597.9500122070312,630.27001953125,32.60667419433594,0,605.4083526611328
2021-03-26,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,149.16680908203125,150.78787231445312,TSLA,597.9500122070312,640.3900146484375,40.818939208984375,0,605.4083526611328
2021-03-29,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,149.16680908203125,153.29852294921875,TSLA,597.9500122070312,618.7100219726562,16.6282958984375,0,605.4083526611328
2021-03-30,Buy,0.2857142857142857,,ALREADY POSITIONED,JPM,149.16680908203125,150.91635131835938,TSLA,597.9500122070312,611.2899780273438,11.590423583984375,0,605.4083526611328
2021-03-31,Buy,0.42857142857142855,,ALREADY POSITIONED,JPM,149.16680908203125,152.69557189941406,TSLA,597.9500122070312,635.6199951171875,34.14122009277344,0,605.4083526611328
2021-04-01,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,149.16680908203125,150.4715576171875,TSLA,597.9500122070312,667.9299926757812,68.67523193359375,0,605.4083526611328
2021-04-05,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,149.16680908203125,151.93446350097656,TSLA,597.9500122070312,661.75,61.03233337402344,0,605.4083526611328
2021-04-06,Buy,0.2857142857142857,,ALREADY POSITIONED,JPM,149.16680908203125,152.7398223876953,TSLA,597.9500122070312,691.0499877929688,89.52696228027344,0,605.4083526611328
2021-04-07,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,149.16680908203125,151.66600036621094,TSLA,597.9500122070312,691.6199951171875,91.17079162597656,0,605.4083526611328
2021-04-08,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,149.16680908203125,154.0423126220703,TSLA,597.9500122070312,670.969970703125,68.14445495605469,0,605.4083526611328
2021-04-09,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,149.16680908203125,154.23123168945312,TSLA,597.9500122070312,683.7999877929688,80.78555297851562,0,605.4083526611328
2021-04-12,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,149.16680908203125,155.38458251953125,TSLA,597.9500122070312,677.02001953125,72.85223388671875,0,605.4083526611328
2021-04-13,Sell,0.14285714285714285,Weak,Maintain Position,JPM,149.16680908203125,155.0564727783203,TSLA,597.9500122070312,701.97998046875,98.14030456542969,0,605.4083526611328
2021-04-14,Sell,0.2857142857142857,Weak,Maintain Position,JPM,149.16680908203125,153.20712280273438,TSLA,597.9500122070312,762.3200073242188,160.32968139648438,0,605.4083526611328
2021-04-15,Sell,0.42857142857142855,Weak,Maintain Position,JPM,149.16680908203125,150.34364318847656,TSLA,597.9500122070312,732.22998046875,133.10313415527344,0,605.4083526611328
2021-04-16,Sell,0.5714285714285714,Weak,Maintain Position,JPM,149.16680908203125,151.29812622070312,TSLA,597.9500122070312,738.8499755859375,138.76864624023438,0,605.4083526611328
2021-04-19,Sell,0.7142857142857143,Strong,Close Position,JPM,149.16680908203125,152.42166137695312,TSLA,597.9500122070312,739.780029296875,138.57516479492188,138.57516479492188,605.4083526611328
2021-04-20,Sell,0.8571428571428571,,NO POSITION,JPM,149.16680908203125,152.42166137695312,TSLA,597.9500122070312,739.780029296875,138.57516479492188,138.57516479492188,605.4083526611328
2021-04-21,Sell,1.0,,NO POSITION,JPM,149.16680908203125,152.42166137695312,TSLA,597.9500122070312,739.780029296875,138.57516479492188,138.57516479492188,605.4083526611328
2021-04-22,Sell,1.1428571428571428,,NO POSITION,JPM,149.16680908203125,152.42166137695312,TSLA,597.9500122070312,739.780029296875,138.57516479492188,138.57516479492188,605.4083526611328
2021-04-23,Sell,1.2857142857142858,,NO POSITION,JPM,149.16680908203125,152.42166137695312,TSLA,597.9500122070312,739.780029296875,138.57516479492188,138.57516479492188,605.4083526611328
2021-04-26,Sell,1.4285714285714286,,NO POSITION,JPM,149.16680908203125,152.42166137695312,TSLA,597.9500122070312,739.780029296875,138.57516479492188,138.57516479492188,605.4083526611328
2021-04-27,Sell,1.5714285714285714,,NO POSITION,JPM,149.16680908203125,152.42166137695312,TSLA,597.9500122070312,739.780029296875,138.57516479492188,138.57516479492188,605.4083526611328
2021-04-28,Sell,1.7142857142857142,,NO POSITION,JPM,149.16680908203125,152.42166137695312,TSLA,597.9500122070312,739.780029296875,138.57516479492188,138.57516479492188,605.4083526611328
2021-04-29,Buy,0.14285714285714285,Weak,No New Position,JPM,149.16680908203125,152.42166137695312,TSLA,597.9500122070312,739.780029296875,138.57516479492188,138.57516479492188,605.4083526611328
2021-04-30,Sell,0.14285714285714285,,NO POSITION,JPM,149.16680908203125,152.42166137695312,TSLA,597.9500122070312,739.780029296875,138.57516479492188,138.57516479492188,605.4083526611328
2021-05-03,Buy,0.2857142857142857,Weak,No New Position,JPM,149.16680908203125,152.42166137695312,TSLA,597.9500122070312,739.780029296875,138.57516479492188,138.57516479492188,605.4083526611328
2021-05-04,Buy,0.42857142857142855,Weak,No New Position,JPM,149.16680908203125,152.42166137695312,TSLA,597.9500122070312,739.780029296875,138.57516479492188,138.57516479492188,605.4083526611328
2021-05-05,Buy,0.5714285714285714,Weak,No New Position,JPM,149.16680908203125,152.42166137695312,TSLA,597.9500122070312,739.780029296875,138.57516479492188,138.57516479492188,605.4083526611328
2021-05-06,Buy,0.7142857142857143,Strong,Open Position,JPM,156.6174774169922,156.6174774169922,TSLA,670.9400024414062,670.9400024414062,138.57516479492188,138.57516479492188,678.7708763122558
2021-05-07,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,159.76931762695312,TSLA,670.9400024414062,663.5399780273438,128.02330017089844,138.57516479492188,678.7708763122558
2021-05-10,Buy,0.14285714285714285,,ALREADY POSITIONED,JPM,156.6174774169922,160.31617736816406,TSLA,670.9400024414062,672.3699951171875,136.30645751953125,138.57516479492188,678.7708763122558
